,blueWins
812,1
813,0
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,0
824,1
825,0
826,1
827,0
828,0
829,1
830,1
831,1
832,0
833,1
834,1
835,0
836,1
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,0
850,0
851,1
852,1
853,0
854,0
855,1
856,1
857,0
858,1
859,0
860,0
861,1
862,0
863,1
864,0
865,1
866,1
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,1
882,0
883,1
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,1
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,0
904,1
905,0
906,1
907,1
908,1
909,1
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,0
933,1
934,0
935,0
936,0
937,1
938,0
939,0
940,0
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,1
956,1
957,0
958,0
959,1
960,1
961,0
962,1
963,1
964,0
965,0
966,0
967,1
968,0
969,1
970,0
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,0
982,1
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,1
991,0
992,1
993,1
994,1
995,1
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,0
1047,0
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,0
1062,1
1063,0
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,1
1073,1
1074,1
1075,1
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,0
1086,0
1087,1
1088,1
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,1
1126,1
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,1
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,1
1158,1
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,1
1174,0
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,1
1187,0
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,1
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,1
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,1
1227,1
1228,0
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1235,0
1236,1
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,1
1249,1
1250,0
1251,1
1252,0
1253,0
1254,1
1255,1
1256,0
1257,1
1258,1
1259,1
1260,0
1261,1
1262,1
1263,1
1264,0
1265,0
1266,1
1267,1
1268,0
1269,1
1270,1
1271,0
1272,1
1273,0
1274,1
1275,1
1276,0
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,0
1284,1
1285,0
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,1
1293,1
1294,1
1295,1
1296,0
1297,0
1298,0
1299,0
1300,1
1301,1
1302,0
1303,1
1304,1
1305,0
1306,1
1307,0
1308,1
1309,0
1310,0
1311,1
1312,0
1313,0
1314,0
1315,1
1316,1
1317,0
1318,0
1319,0
1320,1
1321,1
1322,0
1323,1
1324,1
1325,0
1326,0
1327,0
1328,0
1329,1
1330,0
1331,1
1332,0
1333,1
1334,0
1335,1
1336,0
1337,0
1338,1
1339,1
1340,0
1341,1
1342,1
1343,0
1344,0
1345,0
1346,0
1347,1
1348,0
1349,1
1350,0
1351,1
1352,0
1353,0
1354,0
1355,0
1356,0
1357,1
1358,0
1359,1
1360,1
1361,1
1362,0
1363,1
1364,0
1365,0
1366,1
1367,0
1368,0
1369,0
1370,0
1371,0
1372,1
1373,1
1374,1
1375,0
1376,0
1377,1
1378,0
1379,1
1380,0
1381,0
1382,1
1383,1
1384,0
1385,0
1386,0
1387,0
1388,1
1389,1
1390,0
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,0
1398,0
1399,1
1400,1
1401,1
1402,1
1403,1
1404,0
1405,1
1406,1
1407,0
1408,0
1409,1
1410,0
1411,1
1412,0
1413,0
1414,1
1415,1
1416,1
1417,0
1418,1
1419,0
1420,1
1421,0
1422,1
1423,1
1424,0
1425,0
1426,0
1427,1
1428,0
1429,1
1430,1
1431,0
1432,0
1433,1
1434,1
1435,0
1436,0
1437,1
1438,0
1439,0
1440,1
1441,1
1442,1
1443,1
1444,1
1445,0
1446,1
1447,1
1448,1
1449,0
1450,1
1451,0
1452,0
1453,1
1454,1
1455,0
1456,1
1457,0
1458,0
1459,1
1460,0
1461,1
1462,1
1463,0
1464,1
1465,1
1466,1
1467,0
1468,0
1469,0
1470,1
1471,0
1472,0
1473,1
1474,0
1475,1
1476,0
1477,0
1478,0
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,1
1495,0
1496,1
1497,0
1498,1
1499,1
1500,0
1501,0
1502,1
1503,1
1504,1
1505,0
1506,0
1507,0
1508,0
1509,1
1510,1
1511,0
1512,1
1513,1
1514,0
1515,0
1516,0
1517,0
1518,1
1519,1
1520,1
1521,0
1522,1
1523,0
1524,1
1525,0
1526,1
1527,0
1528,0
1529,1
1530,0
1531,0
1532,1
1533,1
1534,1
1535,0
1536,0
1537,1
1538,1
1539,1
1540,1
1541,0
1542,0
1543,0
1544,1
1545,1
1546,1
1547,0
1548,1
1549,0
1550,1
1551,0
1552,1
1553,1
1554,0
1555,0
1556,1
1557,0
1558,0
1559,0
1560,1
1561,1
1562,0
1563,0
1564,1
1565,0
1566,0
1567,1
1568,0
1569,1
1570,0
1571,0
1572,0
1573,0
1574,0
1575,1
1576,1
1577,0
1578,0
1579,0
1580,1
1581,1
1582,1
1583,1
1584,0
1585,0
1586,1
1587,1
1588,1
1589,1
1590,1
1591,0
1592,1
1593,0
1594,0
1595,1
1596,1
1597,1
1598,0
1599,0
1600,1
1601,1
1602,0
1603,0
1604,0
1605,1
1606,1
1607,1
1608,1
1609,0
1610,1
1611,0
1612,1
1613,0
1614,1
1615,1
1616,0
1617,1
1618,0
1619,1
1620,0
1621,1
1622,0
1623,1
1624,1
1625,0
1626,1
1627,0
1628,1
1629,0
1630,1
1631,0
1632,1
1633,1
1634,0
1635,1
1636,0
1637,1
1638,0
1639,0
1640,1
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,1
1649,1
1650,0
1651,1
1652,1
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,1
1660,0
1661,1
1662,0
1663,1
1664,1
1665,1
1666,0
1667,0
1668,1
1669,1
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,0
1678,0
1679,1
1680,1
1681,0
1682,0
1683,0
1684,1
1685,1
1686,0
1687,1
1688,0
1689,0
1690,0
1691,1
1692,1
1693,0
1694,0
1695,0
1696,1
1697,0
1698,1
1699,1
1700,0
1701,0
1702,0
1703,0
1704,1
1705,0
1706,1
1707,1
1708,0
1709,1
1710,0
1711,0
1712,0
1713,0
1714,0
1715,1
1716,0
1717,0
1718,1
1719,1
1720,0
1721,1
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,1
1731,1
1732,1
1733,1
1734,1
1735,0
1736,1
1737,1
1738,1
1739,0
1740,1
1741,0
1742,1
1743,1
1744,0
1745,0
1746,1
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,0
1760,0
1761,1
1762,1
1763,1
1764,1
1765,0
1766,0
1767,1
1768,0
1769,0
1770,1
1771,1
1772,1
1773,0
1774,1
1775,1
1776,0
1777,0
1778,0
1779,1
1780,1
1781,0
1782,0
1783,0
1784,0
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,0
1792,0
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,0
1800,0
1801,0
1802,1
1803,0
1804,0
1805,1
1806,0
1807,1
1808,0
1809,0
1810,0
1811,1
1812,0
1813,0
1814,0
1815,0
1816,1
1817,0
1818,0
1819,1
1820,0
1821,1
1822,1
1823,0
1824,1
1825,1
1826,0
1827,0
1828,0
1829,1
1830,1
1831,0
1832,0
1833,0
1834,0
1835,1
1836,0
1837,1
1838,0
1839,0
1840,0
1841,1
1842,1
1843,1
1844,0
1845,1
1846,0
1847,1
1848,1
1849,1
1850,0
1851,0
1852,1
1853,0
1854,0
1855,0
1856,1
1857,1
1858,0
1859,1
1860,1
1861,0
1862,1
1863,1
1864,0
1865,0
1866,0
1867,0
1868,1
1869,0
1870,1
1871,0
1872,0
1873,1
1874,0
1875,0
1876,0
1877,0
1878,1
1879,0
1880,0
1881,1
1882,0
1883,1
1884,0
1885,0
1886,1
1887,1
1888,1
1889,1
1890,0
1891,0
1892,1
1893,1
1894,1
1895,0
1896,1
1897,1
1898,0
1899,1
1900,0
1901,1
1902,0
1903,1
1904,1
1905,0
1906,1
1907,1
1908,0
1909,1
1910,0
1911,1
1912,1
1913,0
1914,1
1915,1
1916,1
1917,0
1918,1
1919,0
1920,0
1921,0
1922,1
1923,1
1924,0
1925,1
1926,0
1927,0
1928,0
1929,1
1930,0
1931,0
1932,0
1933,1
1934,1
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,1
1942,1
1943,0
1944,1
1945,1
1946,0
1947,1
1948,1
1949,0
1950,1
1951,0
1952,1
1953,0
1954,1
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,1
1962,0
1963,0
1964,1
1965,1
1966,1
1967,0
1968,0
1969,1
1970,0
1971,1
1972,0
1973,0
1974,1
1975,1
1976,1
1977,0
1978,1
1979,0
1980,1
1981,1
1982,0
1983,1
1984,1
1985,0
1986,0
1987,0
1988,1
1989,0
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,0
1998,1
1999,0
2000,1
2001,1
2002,1
2003,1
2004,0
2005,0
2006,1
2007,0
2008,1
2009,0
2010,0
2011,1
2012,0
2013,1
2014,1
2015,1
2016,1
2017,0
2018,1
2019,0
2020,0
2021,0
2022,0
2023,1
2024,1
2025,0
2026,0
2027,0
2028,0
2029,1
2030,0
2031,1
2032,0
2033,1
2034,0
2035,0
2036,1
2037,1
2038,0
2039,1
2040,1
2041,1
2042,0
2043,0
2044,0
2045,1
2046,0
2047,0
2048,1
2049,0
2050,1
2051,1
2052,1
2053,1
2054,0
2055,1
2056,1
2057,0
2058,0
2059,1
2060,1
2061,1
2062,1
2063,0
2064,1
2065,0
2066,1
2067,0
2068,0
2069,0
2070,1
2071,0
2072,0
2073,1
2074,1
2075,0
2076,1
2077,1
2078,0
2079,1
2080,0
2081,1
2082,1
2083,0
2084,0
2085,0
2086,0
2087,1
2088,0
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,0
2096,0
2097,0
2098,0
2099,1
2100,1
2101,0
2102,0
2103,1
2104,1
2105,1
2106,1
2107,1
2108,0
2109,0
2110,1
2111,1
2112,1
2113,0
2114,0
2115,0
2116,1
2117,1
2118,0
2119,0
2120,1
2121,1
2122,0
2123,1
2124,0
2125,0
2126,0
2127,1
2128,1
2129,0
2130,1
2131,1
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,1
2140,0
2141,0
2142,1
2143,0
2144,1
2145,1
2146,0
2147,1
2148,0
2149,1
2150,0
2151,1
2152,1
2153,0
2154,0
2155,1
2156,0
2157,0
2158,0
2159,0
2160,1
2161,1
2162,1
2163,1
2164,0
2165,1
2166,0
2167,1
2168,1
2169,0
2170,0
2171,1
2172,0
2173,0
2174,1
2175,0
2176,1
2177,0
2178,1
2179,0
2180,0
2181,1
2182,1
2183,0
2184,1
2185,1
2186,0
2187,1
2188,1
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,1
2198,1
2199,0
2200,0
2201,0
2202,1
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,1
2211,1
2212,0
2213,1
2214,0
2215,0
2216,1
2217,0
2218,1
2219,0
2220,1
2221,1
2222,1
2223,1
2224,0
2225,0
2226,0
2227,0
2228,0
2229,1
2230,0
2231,0
2232,1
2233,1
2234,0
2235,1
2236,1
2237,1
2238,0
2239,1
2240,1
2241,1
2242,0
2243,1
2244,1
2245,1
2246,1
2247,0
2248,0
2249,1
2250,1
2251,0
2252,1
2253,0
2254,0
2255,0
2256,0
2257,1
2258,0
2259,0
2260,0
2261,1
2262,1
2263,0
2264,1
2265,1
2266,1
2267,0
2268,1
2269,1
2270,0
2271,0
2272,1
2273,1
2274,0
2275,0
2276,0
2277,0
2278,1
2279,1
2280,1
2281,1
2282,0
2283,1
2284,0
2285,1
2286,0
2287,1
2288,0
2289,0
2290,1
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,1
2298,1
2299,0
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,0
2310,1
2311,1
2312,0
2313,0
2314,0
2315,1
2316,1
2317,0
2318,0
2319,0
2320,0
2321,0
2322,1
2323,0
2324,1
2325,1
2326,0
2327,0
2328,1
2329,1
2330,1
2331,1
2332,0
2333,1
2334,1
2335,0
2336,0
2337,0
2338,0
2339,1
2340,0
2341,1
2342,0
2343,1
2344,0
2345,1
2346,0
2347,0
2348,1
2349,0
2350,1
2351,0
2352,1
2353,1
2354,1
2355,0
2356,1
2357,1
2358,0
2359,0
2360,1
2361,0
2362,0
2363,1
2364,0
2365,0
2366,0
2367,1
2368,1
2369,0
2370,1
2371,1
2372,1
2373,0
2374,0
2375,1
2376,1
2377,0
2378,1
2379,1
2380,0
2381,1
2382,1
2383,0
2384,0
2385,1
2386,1
2387,0
2388,1
2389,0
2390,0
2391,1
2392,0
2393,0
2394,1
2395,0
2396,1
2397,1
2398,1
2399,1
2400,1
2401,0
2402,1
2403,1
2404,1
2405,1
2406,0
2407,1
2408,0
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,1
2424,1
2425,0
2426,0
2427,0
2428,1
2429,1
2430,0
2431,0
2432,1
2433,1
2434,0
2435,0
2436,0
2437,0
2438,0
2439,1
2440,1
2441,1
2442,1
2443,0
2444,0
2445,0
2446,1
2447,1
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,0
2461,1
2462,0
2463,1
2464,0
2465,0
2466,0
2467,1
2468,0
2469,1
2470,0
2471,1
2472,0
2473,1
2474,0
2475,0
2476,1
2477,1
2478,1
2479,0
2480,1
2481,1
2482,1
2483,0
2484,1
2485,1
2486,1
2487,0
2488,1
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,0
2496,1
2497,1
2498,0
2499,0
2500,1
2501,1
2502,0
2503,0
2504,1
2505,0
2506,1
2507,0
2508,0
2509,0
2510,1
2511,1
2512,0
2513,0
2514,0
2515,0
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,0
2523,1
2524,0
2525,0
2526,0
2527,1
2528,1
2529,0
2530,1
2531,1
2532,1
2533,0
2534,0
2535,0
2536,1
2537,0
2538,0
2539,0
2540,0
2541,0
2542,1
2543,1
2544,1
2545,0
2546,0
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,1
2555,1
2556,0
2557,0
2558,0
2559,0
2560,1
2561,1
2562,1
2563,0
2564,1
2565,1
2566,1
2567,1
2568,0
2569,1
2570,0
2571,0
2572,1
2573,0
2574,1
2575,1
2576,1
2577,0
2578,1
2579,0
2580,0
2581,1
2582,1
2583,0
2584,1
2585,0
2586,0
2587,1
2588,0
2589,0
2590,1
2591,1
2592,1
2593,0
2594,1
2595,0
2596,0
2597,0
2598,0
2599,0
2600,1
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,1
2609,0
2610,1
2611,0
2612,0
2613,1
2614,1
2615,0
2616,0
2617,1
2618,0
2619,0
2620,0
2621,0
2622,0
2623,1
2624,1
2625,0
2626,1
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,0
2634,0
2635,0
2636,0
2637,1
2638,1
2639,0
2640,0
2641,0
2642,0
2643,1
2644,1
2645,1
2646,1
2647,0
2648,1
2649,0
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,0
2657,0
2658,0
2659,1
2660,0
2661,0
2662,0
2663,1
2664,1
2665,1
2666,0
2667,1
2668,1
2669,0
2670,0
2671,1
2672,1
2673,0
2674,0
2675,0
2676,1
2677,0
2678,1
2679,1
2680,0
2681,0
2682,1
2683,0
2684,0
2685,1
2686,1
2687,1
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,1
2695,0
2696,1
2697,1
2698,0
2699,0
2700,0
2701,1
2702,0
2703,0
2704,0
2705,1
2706,0
2707,0
2708,1
2709,1
2710,0
2711,1
2712,1
2713,1
2714,1
2715,1
2716,0
2717,0
2718,1
2719,0
2720,1
2721,1
2722,1
2723,0
2724,0
2725,0
2726,0
2727,1
2728,1
2729,0
2730,1
2731,0
2732,1
2733,0
2734,1
2735,0
2736,0
2737,1
2738,1
2739,1
2740,1
2741,0
2742,1
2743,1
2744,0
2745,0
2746,0
2747,1
2748,1
2749,1
2750,1
2751,0
2752,1
2753,1
2754,0
2755,1
2756,1
2757,0
2758,1
2759,0
2760,1
2761,1
2762,0
2763,0
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2771,0
2772,1
2773,1
2774,0
2775,0
2776,0
2777,1
2778,1
2779,0
2780,1
2781,1
2782,1
2783,0
2784,1
2785,1
2786,0
2787,1
2788,0
2789,1
2790,0
2791,0
2792,0
2793,1
2794,1
2795,1
2796,0
2797,1
2798,1
2799,1
2800,0
2801,1
2802,1
2803,0
2804,1
2805,1
2806,0
2807,1
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,1
2815,0
2816,1
2817,1
2818,0
2819,0
2820,1
2821,1
2822,0
2823,1
2824,1
2825,1
2826,0
2827,1
2828,0
2829,1
2830,0
2831,0
2832,1
2833,1
2834,1
2835,0
2836,1
2837,1
2838,1
2839,1
2840,1
2841,0
2842,1
2843,0
2844,1
2845,1
2846,0
2847,0
2848,1
2849,1
2850,0
2851,1
2852,0
2853,1
2854,0
2855,1
2856,1
2857,0
2858,1
2859,0
2860,0
2861,0
2862,1
2863,0
2864,1
2865,1
2866,1
2867,0
2868,1
2869,0
2870,1
2871,0
2872,0
2873,1
2874,0
2875,0
2876,0
2877,0
2878,0
2879,0
2880,1
2881,1
2882,1
2883,1
2884,1
2885,0
2886,1
2887,0
2888,0
2889,0
2890,1
2891,1
2892,0
2893,0
2894,1
2895,1
2896,1
2897,1
2898,1
2899,0
2900,0
2901,0
2902,1
2903,1
2904,0
2905,1
2906,1
2907,0
2908,0
2909,0
2910,0
2911,1
2912,0
2913,1
2914,0
2915,1
2916,0
2917,1
2918,1
2919,0
2920,1
2921,1
2922,1
2923,1
2924,0
2925,1
2926,0
2927,0
2928,1
2929,1
2930,0
2931,1
2932,1
2933,1
2934,0
2935,0
2936,0
2937,0
2938,1
2939,0
2940,0
2941,1
2942,0
2943,1
2944,1
2945,1
2946,0
2947,1
2948,0
2949,1
2950,1
2951,1
2952,1
2953,1
2954,0
2955,0
2956,0
2957,1
2958,0
2959,1
2960,1
2961,1
2962,1
2963,0
2964,1
2965,0
2966,1
2967,0
2968,0
2969,1
2970,0
2971,1
2972,1
2973,0
2974,0
2975,0
2976,1
2977,1
2978,0
2979,0
2980,1
2981,1
2982,0
2983,1
2984,0
2985,0
2986,0
2987,1
2988,0
2989,0
2990,0
2991,1
2992,0
2993,1
2994,0
2995,1
2996,0
